,h,T,M,Lambda_lhs,s
313,-15314.85149,21098476.63,667000,5.17E-05,0.000409301
314,-25179.37751,25019100.66,667000,5.16E-05,0.000475653
315,-23011.01299,21420958.69,669000,5.19E-05,0.000414967
316,-24411.73726,20390290.94,669000,5.20E-05,0.000397598
317,-16471.19193,10750005.17,671000,5.24E-05,0.000234603
318,-6446.482481,41135648.5,674000,5.28E-05,0.000750014
319,-16699.12598,12528236.7,673000,5.27E-05,0.000265043
320,-28289.0015,46076051.57,673000,5.27E-05,0.00083365
321,-31585.99185,20450697.21,674000,5.28E-05,0.000399422
322,-31688.55523,47260333.62,675000,5.30E-05,0.000854023
323,-17691.54648,34035963.01,677000,5.34E-05,0.000630281
324,-30980.0642,3668251.864,677000,5.34E-05,0.000115574
325,-16231.55468,16730726.04,680000,5.38E-05,0.000337372
326,-24.5471949,10786422.42,683000,5.44E-05,0.000237221
327,-2019.320123,7785235.561,684000,5.45E-05,0.000186453
328,-22724.35146,30680239.91,682000,5.43E-05,0.000574304
329,-4517.365995,43394992.18,685000,5.48E-05,0.000790308
330,-17895.92818,18022740.9,685000,5.47E-05,0.00036017
331,-19894.99657,12161004.16,686000,5.49E-05,0.000261019
332,-3137.635366,24385106.15,689000,5.54E-05,0.000468707
333,-27960.07254,33924547.14,687000,5.51E-05,0.000630092
334,-23891.33572,10341064.67,688000,5.53E-05,0.000230572
335,-20921.88493,29452486.42,690000,5.56E-05,0.000554795
336,-13799.99142,28796185.1,692000,5.59E-05,0.000543971
337,-16505.8283,10098102.93,692000,5.60E-05,0.000227154
338,-23942.03605,23127975.85,693000,5.61E-05,0.0004481
339,-17438.57055,6396125.934,694000,5.64E-05,0.000164809
340,-1728.558001,26875232.4,697000,5.69E-05,0.000512412
341,-22570.00272,4741634.568,696000,5.66E-05,0.000136967
342,-2765.863281,26862520.51,699000,5.72E-05,0.000512497
343,-31651.10807,2069719.564,697000,5.68E-05,9.19E-05
344,-6882.347996,12890787.43,701000,5.75E-05,0.000275988
345,-8345.521068,6750295.907,702000,5.77E-05,0.000172112
346,-7317.217897,12598245.6,703000,5.79E-05,0.00027143
347,-16340.63899,2486052.658,703000,5.79E-05,0.000100036
348,-7275.555471,7107391.2,705000,5.82E-05,0.000178664
349,-19568.77785,33366712.14,705000,5.82E-05,0.000623737
350,-11097.82571,20627904.05,707000,5.85E-05,0.000408125
351,-16533.95888,9006878.454,707000,5.86E-05,0.000211259
352,-14427.36153,43420809.89,708000,5.88E-05,0.000794746
353,-13952.14875,17270715.16,710000,5.90E-05,0.000351724
354,-6584.997461,34813095.67,712000,5.95E-05,0.000649552
355,-15520.43825,40139391.89,712000,5.94E-05,0.000739729
356,-23654.29742,686561.6846,712000,5.95E-05,7.11E-05
357,-17257.83519,41074262.04,714000,5.98E-05,0.000755974
358,-20905.3818,717332.4513,714000,5.99E-05,7.21E-05
359,-9290.640388,35976947.6,717000,6.03E-05,0.000670079
360,-47.90337702,30986102.42,719000,6.07E-05,0.000585888
361,-24492.06763,10108089.63,717000,6.04E-05,0.000231724
362,-7785.715019,7187075.852,720000,6.09E-05,0.000182715
363,-24812.14911,15872305.71,719000,6.07E-05,0.000329722
364,-11372.37967,1940458.685,722000,6.12E-05,9.41E-05
365,-563.8991445,17287394.68,724000,6.16E-05,0.000354607
366,-4572.072312,11487068.02,725000,6.17E-05,0.000256396
